method,rep,t,ess
pf_ce,1,27,74.1587
pf_ce,1,28,76.8201
pf_ce,1,29,62.3578
pf_ce,1,30,200.692
pf_ce,1,31,208.724
pf_ce,1,32,230.376
pf_ce,1,33,181.961
pf_ce,1,34,120.793
pf_ce,1,35,63.1432
pf_ce,1,36,252.384
pf_ce,1,37,234.813
pf_ce,1,38,20.531
pf_ce,1,39,69.0751
pf_ce,1,40,183.911
pf_ce,1,41,119.355
pf_ce,1,42,210.329
pf_ce,1,43,2.37775
pf_ce,1,44,124.872
pf_ce,1,45,171.608
pf_ce,1,46,160.02
pf_ce,1,47,37.9697
pf_ce,1,48,225.256
pf_ce,1,49,180.927
pf_ce,1,50,96.1209
pf_ce,1,51,8.56152
pf_ce,1,52,136.397
pf_ce,1,53,91.3379
pf_ce,1,54,131.29
pf_ce,1,55,25.7451
pf_ce,1,56,47.7616
pf_ce,1,57,142.246
pf_ce,1,58,194.798
pf_ce,1,59,180.505
pf_ce,1,60,14.0335
pf_ce,1,61,28.5883
pf_ce,1,62,54.7277
pf_ce,1,63,76.9406
pf_ce,1,64,104.894
pf_ce,1,65,38.139
pf_ce,1,66,1.69351
pf_ce,1,67,91.4308
pf_ce,1,68,123.473
pf_ce,1,69,110.915
pf_ce,1,70,1.9109
pf_ce,1,71,8.64147
pf_ce,1,72,90.4533
pf_ce,1,73,36.337
pf_ce,1,74,116.03
pf_ce,1,75,101.324
pf_ce,1,76,53.2146
pf_ce,1,77,67.3972
pf_ce,1,78,181.767
pf_ce,1,79,182.246
pf_ce,1,80,97.2771
pf_ce,1,81,65.8422
pf_ce,1,82,86.2054
pf_ce,1,83,126.302
pf_ce,1,84,185.364
pf_ce,1,85,19.069
pf_ce,1,86,38.1312
pf_ce,1,87,1.00597
pf_ce,1,88,57.2417
pf_ce,1,89,42.1055
pf_ce,1,90,35.901
pf_ce,1,91,93.8815
pf_ce,1,92,122.605
pf_ce,1,93,122.196
pf_ce,1,94,157.394
pf_ce,1,95,89.9696
pf_ce,1,96,101.77
pf_ce,1,97,71.0534
pf_ce,1,98,167.807
pf_ce,1,99,149.258
pf_ce,1,100,181.391
pf_ce,1,101,148.725
pf_ce,1,102,191.843
pf_ce,1,103,67.4527
pf_ce,1,104,188.013
pf_ce,1,105,3.99802
pf_ce,1,106,49.8218
pf_ce,1,107,51.2213
pf_ce,1,108,134.513
pf_ce,1,109,135.129
pf_ce,1,110,201.765
pf_ce,1,111,185.093
pf_ce,1,112,58.6843
pf_ce,1,113,183.254
pf_ce,1,114,69.96
pf_ce,1,115,147.199
pf_ce,1,116,180.093
pf_ce,1,117,214.625
pf_ce,1,118,233.521
pf_ce,1,119,172.835
pf_ce,1,120,239.588
pf_ce,1,121,240.177
pf_ce,1,122,42.1542
pf_ce,1,123,43.4993
pf_ce,1,124,149.332
pf_ce,1,125,170.158
pf_ce,1,126,218.555
pf_ce,1,127,178.888
pf_ce,1,128,168.414
pf_ce,1,129,8.1233
pf_ce,1,130,190.172
pf_ce,1,131,218.629
pf_ce,1,132,182.359
pf_ce,1,133,143.863
pf_ce,1,134,201.604
pf_ce,1,135,261.575
pf_ce,1,136,98.6604
pf_ce,1,137,87.441
pf_ce,1,138,88.61
pf_ce,1,139,153.734
pf_ce,1,140,24.2483
pf_ce,1,141,190.954
pf_ce,1,142,79.5197
pf_ce,1,143,91.4898
pf_ce,1,144,180.585
pf_ce,1,145,212.643
pf_ce,1,146,177.578
pf_ce,1,147,271.088
pf_ce,1,148,7.47054
pf_ce,1,149,140.417
copf_ce,1,0,2.53913
copf_ce,1,1,427.873
copf_ce,1,2,355.521
copf_ce,1,3,302.094
copf_ce,1,4,190.934
copf_ce,1,5,409.433
copf_ce,1,6,271.047
copf_ce,1,7,215.065
copf_ce,1,8,332.776
copf_ce,1,9,258.096
copf_ce,1,10,209.316
copf_ce,1,11,354.779
copf_ce,1,12,246.487
